listing_id,price,log_price,vehicle_brand,vehicle_model,vehicle_model_year,vehicle_age,vehicle_mileage_km,is_mileage_missing,vehicle_engine_cc,is_engine_cc_missing,vehicle_fuel_type,vehicle_transmission,vehicle_color,vehicle_condition,is_plate_number,brand_category,province,location_tier,seller_type,initial_price,price_drop_amount,has_price_drop,price_increase_amount,has_price_increase,days_on_market,view_velocity,has_full_option,is_urgent_sale,scraped_at
13905679,61500.0,11.026808713825016,Jeep,Gladiator,2021,5,100000.0,1,2000.0,1,Petrol,Automatic,Grey,used,1,Mass_Market,Phnom Penh,Tier_1,store,61500.0,0.0,0,0.0,0,5.7,0.0,0,0,2026-08-25 10:14:29.872624+00
13835294,53500.0,10.887455624298198,Jeep,Gladiator,2021,5,100000.0,1,2000.0,1,Petrol,Automatic,White,used,1,Mass_Market,Preah Sihanouk,Tier_2,individual,53500.0,0.0,0,0.0,0,26.1,0.0,0,0,2026-08-27 12:05:34.413901+00
13783192,61500.0,11.026808713825016,Jeep,Gladiator,2021,5,100000.0,1,2000.0,1,Petrol,Automatic,Grey,used,1,Mass_Market,Phnom Penh,Tier_1,store,62500.0,1000.0,1,0.0,0,37.9,0.0,0,0,2026-08-25 10:14:33.872237+00
13910647,21500.0,9.975854724662028,Li Auto,L7,2025,1,100000.0,1,2000.0,1,Petrol,Automatic,Unknown,new,0,Chinese_EV,Phnom Penh,Tier_1,individual,21500.0,0.0,0,0.0,0,0.0,0.0,0,0,2026-08-21 02:53:12.549678+00
13923217,50500.0,10.829748417047593,Fangchengbao,Leopard 7,2026,0,100000.0,1,2000.0,1,Petrol,Automatic,Unknown,new,0,Chinese_EV,Phnom Penh,Tier_1,individual,50500.0,0.0,0,0.0,0,0.0,0.0,0,0,2026-08-24 10:11:17.28536+00
13698613,55800.0,10.929547069355774,ផ្សេងៗ,Leopard 7,2025,1,100000.0,1,2000.0,1,Hybrid,Automatic,Green,new,0,Other,Phnom Penh,Tier_1,store,55800.0,0.0,0,0.0,0,61.8,0.0,0,1,2026-08-27 12:15:53.833083+00
13690423,54800.0,10.911463720944793,ផ្សេងៗ,Leopard 7,2025,1,100000.0,1,2000.0,1,Hybrid,Automatic,Green,new,0,Other,Phnom Penh,Tier_1,store,54800.0,0.0,0,0.0,0,63.7,0.0,0,0,2026-08-27 12:09:17.468996+00
13854535,54800.0,10.911463720944793,ផ្សេងៗ,Leopard 7,2025,1,100000.0,1,2000.0,1,Hybrid,Automatic,Other,new,0,Other,Phnom Penh,Tier_1,store,54800.0,0.0,0,0.0,0,21.1,0.0,0,0,2026-08-27 12:15:56.588725+00
13699415,54800.0,10.911463720944793,ផ្សេងៗ,Leopard 7,2025,1,100000.0,1,2000.0,1,Electric,Automatic,Green,new,0,Other,Phnom Penh,Tier_1,store,54800.0,0.0,0,0.0,0,61.6,0.0,0,1,2026-08-27 12:10:44.803135+00
13373666,25800.0,10.158168529848494,GAC,M6,2025,1,100000.0,1,2000.0,1,Petrol,Automatic,White,new,0,Chinese_EV,Phnom Penh,Tier_1,store,25800.0,0.0,0,0.0,0,134.7,0.0,0,0,2026-08-17 08:50:50.161923+00
